1,1,1,cpu,2.4.2016,75222422,607546209
2,2,2,prints,2.6.2016,6383422,655306939
3,3,3,looking,3.10.2003,237057502,886502312
4,4,4,deals,6.3.2010,124739585,30183292
5,5,5,these,16.1.2002,153148120,799999733
6,6,6,therapy,10.8.2014,174513295,364396522
7,7,7,personnel,19.4.1994,237427253,705740212
8,8,8,organizations,18.10.1994,101372888,612367892
9,9,9,initiatives,25.9.2008,202417179,276627177
10,10,10,situation,15.7.2009,144213894,101970047
11,11,11,for,2.10.2014,128509722,680827169
12,12,12,answered,14.2.2009,2315481,799116044
13,13,13,shipping,19.8.2016,156608475,594094796
14,14,14,fi,22.8.2007,20191600,430614443
15,15,15,revised,13.1.2020,138645882,845260761
16,16,16,winning,28.9.2007,51550105,559668641
17,17,17,optimization,22.9.1999,170265063,674950971
18,18,18,valley,3.4.2020,28343354,358235623
19,19,19,giant,14.7.2017,82236461,326827786
20,20,20,gender,11.8.1995,189834422,341908584
21,21,21,carriers,19.8.2005,157546413,638518924
22,22,22,teens,27.4.2008,22217155,644040089
23,23,23,public,17.12.1992,43599229,248056120
24,24,24,start,15.11.2020,241786881,195746163
25,25,25,fundamental,2.10.1996,178294380,314888500
26,26,26,hunting,16.1.2005,223321241,808298386
27,27,27,miller,13.11.1996,90953217,616579285
28,28,28,hidden,27.10.2012,202210384,684534415
29,29,29,activity,7.5.2010,130621305,728757915
30,30,30,lord,4.12.2017,57993431,308913457
31,31,31,copper,20.9.1999,5040316,930421119
32,32,32,stands,16.8.1997,203900386,837893815
33,33,33,portfolio,5.7.2015,158077097,652828676
34,34,34,facing,2.8.1999,177349002,525824115
35,35,35,baby,10.2.2006,61568482,982084840
36,36,36,pursuant,2.11.1991,156169676,436377984
37,37,37,literature,21.7.2007,18923728,2085001
38,38,38,cst,18.12.2009,174090547,650376962
39,39,39,wallpapers,24.3.2020,245743880,371827440
40,40,40,variable,24.4.2004,224550870,616830628
41,41,41,shots,15.10.2002,176963966,871561000
42,42,42,brain,23.7.2011,72270927,795616525
43,43,43,baby,21.4.2013,743118,716937701
44,44,44,protocols,6.10.1991,163448513,942938952
45,45,45,pierre,1.11.1992,218269331,860977637
46,46,46,nurse,2.1.2014,228691245,618320095
47,47,47,middle,13.2.2016,132451191,482731792
48,48,48,sports,11.11.2008,45091599,608961602
49,49,49,mm,1.7.2002,230861063,282682296
50,50,50,halloween,3.8.2001,21322315,720349695
51,51,51,platinum,20.8.2015,221924319,81284304
52,52,52,yards,13.10.2019,203498006,960371798
53,53,53,pro,18.7.1991,36049745,561067805
54,54,54,domestic,24.10.2000,161335464,869059120
55,55,55,removed,6.5.1998,25380864,676436286
56,56,56,mounted,3.11.1999,192227808,104814856
57,57,57,occurred,16.5.1992,82065726,553593253
58,58,58,chile,17.2.2020,79237751,501904953
59,59,59,customize,9.12.2013,134140564,747532001
60,60,60,successful,9.4.1999,174652911,973000644
61,61,61,heights,19.10.1992,157488501,750673106
62,62,62,gene,15.6.2007,98779730,76933889
63,63,63,album,2.3.1996,44604966,488455458
64,64,64,avenue,27.2.2020,130776626,528570074
65,65,65,lists,5.7.1992,23409547,551071362
66,66,66,cache,10.4.1998,9771614,140867275
67,67,67,indicated,1.7.2016,216263786,520581361
68,68,68,article,17.2.1995,139740422,270640352
69,69,69,transition,19.2.2007,44615919,32176980
70,70,70,method,2.10.2017,95344578,942437799
71,71,71,authorized,5.7.2012,182475945,500934528
72,72,72,mining,19.1.1992,218099615,257996600
73,73,73,restrictions,10.2.2014,154491120,916696102
74,74,74,genetics,13.6.2013,182578534,870886914
75,75,75,alberta,5.10.2016,38315615,202413050
76,76,76,nutten,14.5.2016,155426445,405900440
77,77,77,webcam,26.11.2011,140607010,383440696
78,78,78,white,2.10.2008,46109114,430384848
79,79,79,iso,13.3.2001,131375870,880114524
80,80,80,dealers,27.6.1990,162084476,89995029
81,81,81,palace,13.9.2013,180390007,649157428
82,82,82,listed,8.5.2000,20238375,997072595
83,83,83,collective,26.11.2004,104787653,469381926
84,84,84,arkansas,12.10.2010,184758416,602827651
85,85,85,fonts,8.1.2000,234011329,151654406
86,86,86,abuse,11.10.1991,151148681,954762493
87,87,87,following,10.11.1992,160004576,124291766
88,88,88,disaster,12.10.2006,147690157,386331105
89,89,89,wyoming,22.5.2019,54751210,389584964
90,90,90,explorer,16.1.1997,91789200,691324833
91,91,91,purposes,25.8.2009,184554894,189265145
92,92,92,boost,5.4.2001,239758950,354137255
93,93,93,seed,13.8.2003,163528859,273864258
94,94,94,steve,2.2.2011,164075825,574665508
